Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/events/,672,0,17,29.91529733654239,6.098991958424449,202.3520440561697,1060.0,23.088270316777933,0.0,17,25,32,37,62,100,160,200,200,200,200
GET,GET /api/v1/events/{id}/,709,0,17,29.092866763681414,5.798914935439825,269.14285600651056,385.0,24.35949948600529,0.0,17,23,29,36,63,97,170,200,270,270,270
GET,GET /api/v1/orders/,234,234,6,10.397935005076008,2.8848840156570077,170.22164701484144,31.0,8.039665556735173,8.039665556735173,6,8,10,11,14,22,78,100,170,170,170
GET,GET /api/v1/seats/,705,0,20,33.77805996359267,7.563856081105769,262.69856898579746,4101.0,24.22206930554828,0.0,20,28,36,43,71,110,180,200,260,260,260
POST,POST /api/v1/seats/reserve/,445,445,10,19.768565030391798,3.5627320175990462,199.90458607207984,30.0,15.28910757584253,15.28910757584253,10,14,18,21,42,63,150,170,200,200,200
,Aggregated,2765,679,16,27.40455075936766,2.8848840156570077,269.14285600651056,1409.4372513562387,94.99861224090921,23.328773132577705,16,22,28,34,57,98,170,200,220,270,270
