Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/events/,1824,1824,4,6.776940183108469,1.9271529745310545,49.36995904427022,0.0,62.80330466884351,62.80330466884351,4,6,7,8,12,21,37,42,48,49,49
GET,GET /api/events/{id}/seats,921,921,4,7.091817490419779,1.9247939344495535,53.23340301401913,0.0,31.71153706140618,31.71153706140618,4,6,7,8,12,27,36,41,53,53,53
,Aggregated,2745,2745,4,6.882587541954996,1.9247939344495535,53.23340301401913,0.0,94.51484173024969,94.51484173024969,4,6,7,8,12,23,37,42,50,53,53
