Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/,1129,1129,3,5.387141139752193,1.637086970731616,86.9450499303639,0.0,38.899501965011005,38.899501965011005,3,4,5,5,8,11,44,55,87,87,87
GET,GET /seats/,830,830,3,5.96144664345354,1.6181810060516,92.31260302476585,0.0,28.597508087652024,28.597508087652024,3,4,5,5,8,14,48,54,92,92,92
POST,POST /bookings/,858,858,3,6.883496284812671,1.5450300415977836,93.2137310737744,0.0,29.562243300247513,29.562243300247513,3,4,5,6,9,23,56,80,93,93,93
,Aggregated,2817,2817,3,6.012113196029796,1.5450300415977836,93.2137310737744,0.0,97.05925335291055,97.05925335291055,3,4,5,6,8,13,49,63,89,93,93
