Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/,954,0,39,79.95827005667499,3.3542769961059093,1208.42336199712,435.0,32.7978941825571,0.0,40,71,100,120,210,310,390,430,1200,1200,1200
GET,GET /seats/,1018,0,62,104.56231491713856,15.28548903297633,1233.8381569134071,34692.513752455794,34.99817219899699,0.0,62,92,120,150,240,310,460,760,1200,1200,1200
POST,POST /bookings/,660,660,16,28.237489953453682,2.9860290233045816,491.24800495337695,167.73939393939395,22.69036704453636,22.69036704453636,16,23,30,36,60,92,170,230,490,490,490
,Aggregated,2632,660,37,76.50507963107691,2.9860290233045816,1233.8381569134071,13618.038373860183,90.48643342609046,22.69036704453636,37,65,91,110,190,280,390,470,1200,1200,1200
