Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /bookings/{id}/ticket,232,232,9,23.51290510981424,2.053275005891919,671.3849900988862,103.0,7.987035682259829,7.987035682259829,10,15,20,23,35,62,180,380,670,670,670
GET,GET /events/,744,0,15,55.77592369496337,2.963677980005741,1243.1860470678657,435.0,25.61359718793669,0.0,15,28,46,60,120,240,370,690,1200,1200,1200
GET,GET /events/{id}/,462,0,12,46.93294539256424,2.7404199354350567,1273.4292360255495,142.92857142857142,15.905217608638107,0.0,12,23,37,49,100,180,350,680,1300,1300,1300
GET,GET /seats/,754,0,36,73.88067368120919,14.972540899179876,1273.4219550620764,34692.168435013264,25.957865967344443,0.0,36,53,68,81,150,270,360,1100,1300,1300,1300
POST,POST /bookings/,497,497,8,20.45427800729586,2.1766299614682794,672.2800530260429,167.75050301810865,17.110158336565235,17.110158336565235,8,14,17,22,38,61,140,280,670,670,670
,Aggregated,2689,729,19,50.02123693237341,2.053275005891919,1273.4292360255495,9912.54592785422,92.57387478274431,25.097194018825064,19,30,43,54,100,190,350,670,1300,1300,1300
