Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/,401,159,1100.0,1140.2234882995965,4.61909209843725,4697.976312018,24299.695760598504,13.79556798746204,5.470063117223103,1100,1400,1700,1900,2500,2800,3100,3300,4700,4700,4700
GET,GET /events/{id}/,263,122,1000.0,1144.2792453646425,5.3596069337800145,5683.754224097356,31568.48288973384,9.04796603666463,4.197155347806406,1000,1500,1800,2000,2500,2800,4000,4400,5700,5700,5700
GET,GET /orders/,109,109,36,75.8587113696945,4.035838996060193,907.0241970475763,82.0,3.7499174828762154,3.7499174828762154,36,63,84,110,170,190,590,720,910,910,910
GET,GET /seats/,416,170,970.0,1108.6617912694167,4.882334033027291,4429.9196189967915,21893.423076923078,14.311611677766106,5.848495156779419,990,1400,1700,1900,2500,2900,3400,4000,4400,4400,4400
GET,GET /tickets/{id}/,120,120,50,211.56425017106812,3.948236000724137,3460.133712971583,82.0,4.12834952243253,4.12834952243253,50,110,180,230,410,1100,2200,2200,3500,3500,3500
POST,POST /seats/reserve/,243,243,40,189.6757541258854,3.46339400857687,3577.8565159998834,82.0,8.359907782925875,8.359907782925875,40,74,120,160,360,770,2400,3500,3600,3600,3600
,Aggregated,1552,923,560.0,837.0656464687703,3.46339400857687,5683.754224097356,17521.29961340206,53.393320490127394,31.753888410043547,560,1100,1400,1600,2200,2700,3200,3700,4700,5700,5700
