Method,Name,Error,Occurrences
GET,GET /api/events/,"ConnectionResetError(104, 'Connection reset by peer')",753
GET,GET /api/events/,RemoteDisconnected('Remote end closed connection without response'),318
GET,GET /api/events/{id}/seats,RemoteDisconnected('Remote end closed connection without response'),251
POST,POST /api/bookings/,RemoteDisconnected('Remote end closed connection without response'),241
POST,POST /api/bookings/,"ConnectionResetError(104, 'Connection reset by peer')",572
GET,GET /api/events/{id}/seats,"ConnectionResetError(104, 'Connection reset by peer')",594
