Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/,529,0,1000.0,1216.669058414891,4.543303046375513,5085.007011075504,435.0,18.10099788666249,0.0,1000,1300,1500,1700,2200,2800,3800,4300,5100,5100,5100
GET,GET /seats/,489,0,1100.0,1278.7239028815588,24.81980505399406,5775.942431064323,34692.68098159509,16.732302394287256,0.0,1100,1300,1500,1700,2300,2900,4100,4400,5800,5800,5800
POST,POST /bookings/,387,387,190.0,273.6496302035688,3.596032038331032,3449.756637099199,167.7545219638243,13.242128888730406,13.242128888730406,190,250,290,330,430,600,1500,2900,3400,3400,3400
,Aggregated,1405,387,800.0,978.516958931915,3.596032038331032,5775.942431064323,12284.524555160142,48.075429169680156,13.242128888730406,800,1100,1300,1500,2000,2600,3600,4300,5500,5800,5800
