Method,Name,Error,Occurrences
GET,GET /seats/,HTTPError('429 Client Error: Too Many Requests for url: GET /seats/'),741
POST,/api/v1/auth/token/,HTTPError('429 Client Error: Too Many Requests for url: /api/v1/auth/token/'),35
GET,GET /events/,HTTPError('429 Client Error: Too Many Requests for url: GET /events/'),715
POST,/api/v1/auth/token/,HTTPError('401 Client Error: Unauthorized for url: /api/v1/auth/token/'),65
