Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/,1000,0,31,67.2204758557491,3.1967079266905785,571.8036629259586,435.0,34.40286894866104,0.0,31,55,82,110,210,280,310,340,570,570,570
GET,GET /seats/,998,0,52,90.06242958218968,16.161728068254888,645.31738194637,34693.240480961926,34.334063210763716,0.0,52,79,110,140,240,300,340,360,650,650,650
POST,POST /bookings/,666,666,14,25.810211902839487,2.6513980701565742,335.7633970445022,167.7177177177177,22.912310719808254,22.912310719808254,14,21,28,37,65,88,130,200,340,340,340
,Aggregated,2664,666,33,65.42506820798255,2.6513980701565742,645.31738194637,13202.15990990991,91.64924287923301,22.912310719808254,33,55,75,95,190,260,310,340,570,650,650
