Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/events/,687,0,10,18.45720667901057,5.005161045119166,271.504505071789,1060.0,23.63747270286009,0.0,10,13,17,20,36,53,120,150,270,270,270
GET,GET /api/v1/events/{id}/,725,0,11,21.251100877075103,4.974846029654145,280.65915196202695,385.0,24.94493116386254,0.0,11,15,18,21,41,75,130,150,280,280,280
GET,GET /api/v1/orders/,251,251,4,9.684487739930383,2.3829879937693477,240.32104294747114,31.0,8.63610720293724,8.63610720293724,4,6,6,7,11,41,81,100,240,240,240
GET,GET /api/v1/seats/,682,0,13,21.374647900915523,6.845479016192257,275.8589159930125,4101.0,23.465438694833452,0.0,13,16,19,22,41,73,120,150,280,280,280
POST,POST /api/v1/seats/reserve/,452,452,6,15.130713743526504,3.326430916786194,253.1561410287395,30.0,15.551874325608095,15.551874325608095,6,9,11,13,26,71,110,140,250,250,250
,Aggregated,2797,703,10,18.56794709602453,2.3829879937693477,280.65915196202695,1367.7397211297819,96.23582409010142,24.187981528545333,10,13,17,19,36,66,120,150,280,280,280
