Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/,1437,1437,3,4.83351258014017,1.4303260250017047,49.77554897777736,0.0,49.48127296631808,49.48127296631808,3,4,4,5,6,10,35,46,50,50,50
GET,GET /events/{id}/,1054,1054,3,5.181573888802092,1.420223037712276,54.8906639451161,0.0,36.293153588378054,36.293153588378054,3,4,5,5,7,11,35,46,50,55,55
GET,GET /tickets/{id}/download/,309,309,4,5.85176047234582,1.8400109838694334,55.50278595183045,0.0,10.640023205700965,10.640023205700965,4,4,5,6,9,14,46,48,56,56,56
,Aggregated,2800,2800,3,5.07690372943346,1.420223037712276,55.50278595183045,0.0,96.4144497603971,96.4144497603971,3,4,4,5,7,11,36,46,51,56,56
