Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /bookings/{id}/ticket,241,241,7,19.443133436781025,2.338703954592347,477.80127299483865,103.0,8.294418374605021,8.294418374605021,7,13,17,22,45,67,89,300,480,480,480
GET,GET /events/,766,0,12,44.84122199892108,2.623201929964125,882.8181129647419,435.0,26.363172095217617,0.0,12,23,38,47,110,190,280,860,880,880,880
GET,GET /events/{id}/,495,0,14,44.40000910415418,3.131101024337113,876.2859760317951,143.48888888888888,17.036253508006162,0.0,14,27,36,45,100,190,290,860,880,880,880
GET,GET /seats/,749,0,32,56.02572379507577,13.990905019454658,874.4178579654545,34692.86782376502,25.778088641407304,0.0,32,46,59,69,120,190,250,300,870,870,870
POST,POST /bookings/,484,484,6,17.943276137388736,2.523493953049183,478.68740500416607,167.7520661157025,16.657670096717137,16.657670096717137,6,12,15,19,32,60,95,210,480,480,480
,Aggregated,2735,725,18,40.826321202560145,2.338703954592347,882.8181129647419,9687.46252285192,94.12960271595324,24.952088471322156,18,28,39,47,88,170,250,380,880,880,880
