Method,Name,Error,Occurrences
POST,POST /bookings/,HTTPError('422 Client Error: Unprocessable Entity for url: POST /bookings/'),497
GET,GET /bookings/{id}/ticket,HTTPError('404 Client Error: Not Found for url: GET /bookings/{id}/ticket'),232
