Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/events/,1106,0,13,21.77861198110533,5.299356998875737,248.33128601312637,1060.0,38.082090992295825,0.0,13,18,23,28,45,68,110,110,250,250,250
GET,GET /api/v1/seats/,781,0,16,25.28431124269137,6.328502902761102,239.66494400519878,4101.0,26.89160313289606,0.0,16,21,26,30,53,81,110,120,240,240,240
POST,POST /api/v1/seats/reserve/,817,817,8,14.263376707440262,3.1501529738307,207.97982101794332,30.0,28.131164865014185,28.131164865014185,8,11,14,17,27,47,84,100,210,210,210
,Aggregated,2704,817,12,20.520477330481935,3.1501529738307,248.33128601312637,1627.126849112426,93.10485899020607,28.131164865014185,12,17,22,25,44,68,100,110,240,250,250
