Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/,666,0,12,22.52924918667651,5.846092011779547,472.7906649932265,1060.0,22.888640010123616,0.0,12,16,21,24,43,66,110,190,470,470,470
GET,GET /events/{id}/,465,0,12,27.712522483410773,5.709426011890173,439.3552760593593,352.06021505376344,15.980807214275497,0.0,12,16,21,26,50,120,210,230,440,440,440
GET,GET /orders/,265,265,5,10.070009952639493,2.62343802023679,166.67600302025676,31.0,9.107341745769906,9.107341745769906,5,6,8,9,13,43,74,110,170,170,170
GET,GET /seats/,667,0,14,24.004249678361976,6.515949964523315,413.0845250329003,4101.0,22.923007337466142,0.0,14,18,22,26,47,89,120,150,410,410,410
GET,GET /tickets/{id}/,219,219,6,12.857552531141295,2.357375924475491,220.60787596274167,30.0,7.526444688013621,7.526444688013621,6,7,9,11,19,50,98,160,220,220,220
POST,POST /seats/reserve/,510,510,8,15.195256635756689,3.09210701379925,200.37451398093253,30.0,17.527336944689257,17.527336944689257,8,10,13,15,28,63,110,130,200,200,200
,Aggregated,2792,994,11,20.464031151355776,2.357375924475491,472.7906649932265,1301.9770773638968,95.95357794033804,34.16112337847278,11,14,18,21,41,74,120,170,410,470,470
