Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/,751,481,210.0,766.4224483815584,4.479875904507935,4360.47952005174,18716.737683089214,25.815800685825543,16.534487523145255,210,1100,1500,1700,2000,2400,3000,3400,4400,4400,4400
GET,GET /seats/,542,342,140.0,728.1491484441898,4.454675014130771,4275.024169008248,15099.90036900369,18.631376793232285,11.756330006061699,140,1000,1300,1500,2000,2500,3000,3200,4300,4300,4300
POST,POST /reserve/,547,547,25,84.6925984727137,3.6224359646439552,1684.3544929288328,82.0,18.80325296291155,18.80325296291155,25,48,63,83,140,240,1400,1500,1700,1700,1700
,Aggregated,1840,1370,48,552.482037258628,3.6224359646439552,4360.47952005174,12111.559782608696,63.25043044196938,47.094070492118504,49,360,1000,1300,1800,2300,2800,3200,4300,4400,4400
