Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/events/,997,921,13,52.9266502924213,4.230452002957463,2665.47803604044,766.7462387161485,34.29561437026973,31.68130474926622,13,19,26,33,84,180,400,1300,2700,2700,2700
GET,GET /api/v1/seats/,820,752,13,68.4856712406433,4.3357949471101165,1665.257222019136,1939.909756097561,28.20702485819577,25.86790572361368,13,20,28,36,110,240,1300,1400,1700,1700,1700
POST,POST /api/v1/seats/reserve/,802,802,9,43.39676824754842,3.432461991906166,1593.2238729437813,82.0,27.58784626374757,27.58784626374757,9,13,16,20,46,96,410,1200,1600,1600,1600
,Aggregated,2619,2475,12,54.879850665675974,3.432461991906166,2665.47803604044,924.3741886216113,90.09048549221306,85.13705673662747,12,17,24,31,75,180,550,1300,1700,2700,2700
