Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/,437,293,52,782.3562060279805,3.8565919967368245,10667.579433997162,21230.65675057208,15.019851694817858,10.07051841323028,52,730,1000,1300,2200,4000,5000,5900,11000,11000,11000
GET,GET /events/{id}/,321,220,21,533.8672420754883,3.8493319880217314,5090.11082793586,9346.16199376947,11.032888773538975,7.561481402425466,21,420,800,1100,1500,2400,3600,4800,5100,5100,5100
GET,GET /orders/,141,141,14,181.48657498082,3.3623080234974623,4945.439607952721,82.0,4.846222171554503,4.846222171554503,14,34,61,94,330,1000,2300,3000,4900,4900,4900
GET,GET /seats/,494,325,36,610.3874069583406,4.29873401299119,6042.059988016263,16422.074898785424,16.978962785446274,11.170370253583075,37,620,900,1100,1900,2700,3500,4900,6000,6000,6000
GET,GET /tickets/{id}/,159,159,21,289.2409965458894,3.234880045056343,5099.551304010674,82.0,5.46488883175295,5.46488883175295,21,44,77,130,410,1800,4000,5100,5100,5100,5100
POST,POST /seats/reserve/,321,321,16,284.22375337432527,3.070804988965392,4908.369443030097,82.0,11.032888773538975,11.032888773538975,16,40,69,110,390,1900,4400,4800,4900,4900,4900
,Aggregated,1873,1459,23,521.9472376583716,3.070804988965392,10667.579433997162,10913.690336358783,64.37570303064953,50.14636984608525,23,200,650,890,1700,2600,4400,5000,7700,11000,11000
