Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/,1015,5,15,31.725455742338536,4.903506021946669,472.7430329658091,1054.8817733990147,34.901395338946024,0.17192805585687695,15,21,27,34,61,130,240,290,470,470,470
GET,GET /seats/,1056,8,17,36.22317395770965,7.201239932328463,455.69892309140414,4070.090909090909,36.31120539697241,0.2750848893710031,17,24,32,39,66,140,260,370,440,460,460
POST,POST /reserve/,658,658,9,22.897913732309753,3.590950043871999,259.6847389359027,30.0,22.625732150765007,22.625732150765007,9,13,18,22,48,120,190,210,260,260,260
,Aggregated,2729,671,15,31.33742635165805,3.590950043871999,472.7430329658091,1974.518504946867,93.83833288668345,23.07274509599289,15,20,27,34,61,130,230,290,460,470,470
