Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/,1008,0,11,21.644077659330502,5.036172107793391,282.22374292090535,1060.0,34.71389966698419,0.0,11,15,19,22,41,75,140,210,270,280,280
GET,GET /seats/,1020,0,14,22.949992281535422,6.507016951218247,286.498176981695,4101.0,35.12716037730543,0.0,14,17,21,25,43,78,130,190,230,290,290
POST,POST /reserve/,747,747,7,15.085288199410341,3.173022996634245,265.0776859372854,30.0,25.725479217497213,25.725479217497213,7,10,13,15,26,47,120,180,270,270,270
,Aggregated,2775,747,11,20.358534303686774,3.173022996634245,286.498176981695,1900.5081081081082,95.56653926178683,25.725479217497213,11,15,18,21,38,65,140,190,270,290,290
