Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/events/,495,372,29,528.2000616540888,5.652652005665004,4906.130113056861,13044.49696969697,17.01334709710375,12.78578812145979,29,130,770,1100,2000,2600,3300,3700,4900,4900,4900
GET,GET /api/v1/events/{id}/,490,357,38,575.4141145789691,5.6375369895249605,4424.685244099237,12562.483673469387,16.841495106223917,12.27023214882028,38,180,920,1200,2200,2700,3600,4000,4400,4400,4400
GET,GET /api/v1/orders/,145,145,18,113.0001030244126,4.398757009766996,3690.4715640703216,82.0,4.983707735515241,4.983707735515241,18,38,57,75,160,360,1200,3200,3700,3700,3700
GET,GET /api/v1/seats/,513,409,30,455.182705546791,5.268011940643191,4833.899168064818,14169.80506822612,17.63201426427116,14.057492853970574,30,95,540,890,1800,2500,3100,3300,4800,4800,4800
POST,POST /api/v1/seats/reserve/,333,333,23,144.9110617752078,4.496756941080093,3460.659253061749,82.0,11.445342592597068,11.445342592597068,23,46,71,86,270,740,1900,2800,3500,3500,3500
,Aggregated,1976,1616,29,425.89123133484645,4.398757009766996,4906.130113056861,10081.451923076924,67.91590679571114,55.542563452362955,29,80,320,760,1700,2400,3100,3500,4800,4900,4900
