Method,Name,Error,Occurrences
POST,[fastapi] POST /api/bookings/,HTTPError('422 Client Error: Unprocessable Entity for url: [fastapi] POST /api/bookings/'),225
POST,[slow-bot] POST /api/bookings/,HTTPError('422 Client Error: Unprocessable Entity for url: [slow-bot] POST /api/bookings/'),233
GET,[django] GET /admin/,HTTPError('404 Client Error: Not Found for url: [django] GET /admin/'),98
POST,[pure] POST /api/bookings/,HTTPError('422 Client Error: Unprocessable Entity for url: [pure] POST /api/bookings/'),332
