Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/events/,1040,0,24,67.16229815311425,3.621601965278387,1337.1440379414707,435.0,35.784427217320925,0.0,24,42,64,80,150,270,370,1200,1300,1300,1300
GET,GET /api/events/{id}/seats,793,0,46,84.58274014911898,14.305541990324855,1367.474957020022,34692.935687263554,27.285625753207203,0.0,46,68,94,110,190,290,370,450,1400,1400,1400
POST,POST /api/bookings/,770,770,12,22.08842985081039,2.696170937269926,326.3814219972119,167.72467532467533,26.494239382054914,26.494239382054914,12,19,25,28,48,68,130,250,330,330,330
,Aggregated,2603,770,26,59.135994622594765,2.696170937269926,1367.474957020022,10792.564733000385,89.56429235258304,26.494239382054914,26,42,57,72,130,230,320,400,1300,1400,1400
